,Kode MK,MK,CPL,Kode BK,BK,Kode CPMK,CPMK,Kode SubCPMK,SubCPMK,MetodePembelajaran,Bentuk Pembelajaran,Bentuk Penilaian,Kriteria Penilaian,Materi Pembelajaran,SubCPMK Lama,Materi Pembelajaran Lama,Deskripsi
,,,"CPL07 Mampu mengembangkan sistem komputasi cerdas, analisis data dengan menerapkan algoritma dan teknik kecerdasan artifisial secara tepat guna
",BK07,Parallel and Distributed Computing,CPMK702,Mampu merancang dan mengimplementasikan pemrosesan data berskala besar menggunakan arsitektur komputasi paralel dan terdistribusi untuk mengoptimalkan kinerja analisis data,SCPMK-702-05001,Mahasiswa mampu merancang alur pemrosesan data berskala besar menggunakan arsitektur komputasi paralel dan terdistribusi.,Pembelajaran Berbasis Kasus (Case Based Learning/CBL),"Ceramah, praktikum perancangan pipeline data","Tugas, Observasi (Praktik/ Tugas)",Ketepatan rancangan alur pemrosesan data berskala besar,Perancangan pipeline pemrosesan data skala besar (batch dan stream processing),,,
,,,,,,,,SCPMK-702-05002,Mahasiswa mampu mengimplementasikan pemrosesan data berskala besar untuk mengoptimalkan kinerja analisis data.,Pembelajaran Berbasis Kasus (Case Based Learning/CBL),Praktikum implementasi framework Big Data,"Observasi (Praktik/ Tugas), Unjuk Kerja (Presentasi)",Ketepatan implementasi dan optimalitas kinerja pemrosesan data berskala besar,Implementasi framework pemrosesan data terdistribusi (mis. Hadoop/Spark) untuk optimasi kinerja analisis data,,,
,,,,,,CPMK503,"Mampu merancang dan mengonfigurasi infrastruktur solusi komputasi paralel dan terdistribusi yang mendukung kebutuhan pemrosesan IoT, Big Data, dan layanan berbasis cloud.",SCPMK-503-05001,Mahasiswa mampu merancang infrastruktur komputasi paralel dan terdistribusi yang mendukung kebutuhan pemrosesan Big Data.,Contextual Instruction (CI),"Ceramah, praktikum konfigurasi infrastruktur","Tugas, Tes Tulis (UAS)",Ketepatan rancangan infrastruktur komputasi paralel-terdistribusi,"Perancangan infrastruktur komputasi paralel-terdistribusi (storage, komputasi, jaringan) untuk Big Data",,,
,,,CPL05,BK07,Parallel and Distributed Computing,,,SCPMK-503-05002,Mahasiswa mampu mengonfigurasi layanan cloud untuk mendukung infrastruktur pemrosesan Big Data.,Pembelajaran Berbasis Kasus (Case Based Learning/CBL),Praktikum konfigurasi layanan cloud,"Observasi (Praktik/ Tugas), Unjuk Kerja (Presentasi)",Ketepatan konfigurasi layanan cloud sesuai kebutuhan pemrosesan Big Data,"Konfigurasi layanan cloud (storage, komputasi terdistribusi) untuk mendukung pemrosesan Big Data",,,
"Dika Rizky Yunianto, S.Kom, M.Kom
",MK051,Cloud Computing,CPL09       Memiliki pemahaman yang memadai terkait cara kerja sistem komputer dan berbagai teknik/pendekatan berbasis komputasi untuk memecahkan masalah  stakeholder,"BK07
BK29","Parallel and Distributed Computing
Virtual Systems and Service",CPMK905,"Mahasiswa mampu menjelaskan konsep virtualisasi dan layanan komputasi awan, serta menerapkan teknik dasar penyediaan dan pengelolaan layanan cloud sesuai kebutuhan sistem komputasi.",Sub-CPMK 90501,"Mampu menjelaskan konsep virtualisasi dan karakteristik layanan cloud (IaaS, PaaS, SaaS) serta melakukan teknik dasar penyediaan (provisioning) instance.",Diskusi Kelompok (Small Group Discussion) ,"Ceramah, Diskusi, Praktikum","Partisipasi, Observasi (Praktik/ Tugas)","Ketepatan dalam menguraikan perbedaan fundamental antara infrastruktur fisik dan virtualisasi serta mengidentifikasi karakteristik utama cloud computing.
Kemampuan menganalisis dan mengklasifikasikan kebutuhan bisnis ke dalam model layanan (IaaS, PaaS, SaaS) serta menentukan batasan tanggung jawab dalam Shared Responsibility Model.
Keberhasilan dalam melakukan provisioning instance, ketepatan konfigurasi akses keamanan (SSH Key), dan kemampuan melakukan langkah-langkah security hardening pada OS.","Pengenalan lingkungan cloud
Layanan Cloud
Infrastructure as a Service (IaaS)","Sub-CPMK 6.2.1.1 Mahasiswa mampu menguasai konsep komputasi awan beserta layanan-layanannya secara mendalam dengan memperhatikan perkembangan teknologi dan isu terkini
Sub-CPMK 6.2.1.2 Mahasiswa mampu menggunakan perangkat berupa sejumlah virtual mesin sebagai sebuah solusi yang bermutu dan terukur, sehingga mampu menghasilkan infrastruktur yang High Availability
Sub-CPMK 6.2.1.3 Mahasiswa mampu menerapkan konsep dan solusi dalam lingkungan komputasi.
","1. Cloud Environments
2. Layanan Cloud
3. IaaS
4. Virtual Cloud Network
5. PaaS
6. SaaS
7. Cloud Storage
8. Container
9. CI/CD
10. Serverless Computing
11. High Availability","Mata kuliah ini membahas tentang layanan komputasi awan, deployment proyek pada lingkungan cloud."
,,,CPL05,BK05,Security Issues and Principles,CPMK502,"Mampu mengidentifikasi, menganalisis, dan menerapkan prinsip serta teknik keamanan untuk menangani isu-isu kerentanan pada sistem operasi, jaringan, dan lingkungan cloud.",Sub-CPMK 50201,Mampu menganalisis isu kerentanan lingkungan cloud dan menerapkan teknik security hardening pada sistem operasi dan layanan cloud.,Pembelajaran Berbasis Kasus (Case Based Learning/CBL),"Ceramah, Diskusi, Praktikum",Observasi (Praktik/ Tugas),"Keberhasilan dalam melakukan provisioning instance, ketepatan konfigurasi akses keamanan (SSH Key), dan kemampuan melakukan langkah-langkah security hardening pada OS.
Ketepatan dalam menyusun Dockerfile, efisiensi ukuran container image yang dihasilkan, dan keberhasilan manajemen daur hidup container secara mandiri.
Keberhasilan konfigurasi orkestrasi klaster, ketepatan implementasi service discovery, dan fungsionalitas mekanisme auto-scaling pada layanan berbasis container.","Infrastructure as a Service (IaaS)
Container",,,
,,,,,,,,Sub-CPMK 50202,Mampu mengidentifikasi dan menerapkan prinsip keamanan jaringan untuk menangani ancaman pada infrastruktur cloud.,Pembelajaran Berbasis Kasus (Case Based Learning/CBL),"Ceramah, Diskusi, Praktikum",Observasi (Praktik/ Tugas),"Kemampuan merancang arsitektur jaringan virtual yang fungsional, mencakup ketepatan konfigurasi subnet, tabel rute, dan efektivitas aturan firewall dalam mengamankan trafik.",Virtual Cloud Network (VCN),,,
,,,,,,,,Sub-CPMK 50203,Mampu mengonfigurasi fitur manajemen sumber daya dan layanan cloud (PaaS/SaaS) untuk mendukung kebutuhan sistem komputasi dan IoT.,Pembelajaran Berbasis Kasus (Case Based Learning/CBL),"Ceramah, Diskusi, Praktikum",Observasi (Praktik/ Tugas),"Keberhasilan melakukan deployment aplikasi ke platform cloud terkelola dan ketepatan konfigurasi variabel lingkungan (environment variables) serta runtime.
Kedalaman eksplorasi ekosistem SaaS dan keberhasilan pengujian integrasi fungsional antar layanan melalui protokol API.
Ketepatan pemilihan tipe penyimpanan (Block/Object), keberhasilan konfigurasi akses data, dan efektivitas penerapan kebijakan siklus hidup data (Lifecycle Policy) untuk efisiensi biaya.
Ketepatan dalam menyusun Dockerfile, efisiensi ukuran container image yang dihasilkan, dan keberhasilan manajemen daur hidup container secara mandiri.
Keberhasilan konfigurasi orkestrasi klaster, ketepatan implementasi service discovery, dan fungsionalitas mekanisme auto-scaling pada layanan berbasis container.","Platform as a Service (PaaS)
Software as a Service (SaaS)
Penyimpanan cloud
Container",,,
,,,CPL05,BK27,Virtual Systems and Services,CPMK509,"Mampu merancang dan mengelola layanan komputasi virtual secara efisien dengan mempertimbangkan kebutuhan performa, skalabilitas, dan keberlanjutan energi.",Sub-CPMK 50901,Mampu merancang layanan komputasi virtual berbasis container dan serverless dengan mempertimbangkan performa dan skalabilitas.,Pembelajaran Berbasis Kasus (Case Based Learning/CBL),"Ceramah, Diskusi, Praktikum",Observasi (Praktik/ Tugas),"Ketepatan pemilihan tipe penyimpanan (Block/Object), keberhasilan konfigurasi akses data, dan efektivitas penerapan kebijakan siklus hidup data (Lifecycle Policy) untuk efisiensi biaya.
Ketepatan dalam menyusun Dockerfile, efisiensi ukuran container image yang dihasilkan, dan keberhasilan manajemen daur hidup container secara mandiri.
Keberhasilan konfigurasi orkestrasi klaster, ketepatan implementasi service discovery, dan fungsionalitas mekanisme auto-scaling pada layanan berbasis container.
Keberhasilan implementasi fungsi pemrograman berbasis peristiwa dan ketepatan konfigurasi pemicu (trigger) sesuai skenario penggunaan (seperti HTTP request atau IoT).","Penyimpanan cloud
Container
Serverless Computing",,,
,,,,,,,,Sub-CPMK 50902,Mampu mengelola operasional cloud yang efisien dengan mempertimbangkan aspek keberlanjutan energi (Green Computing) dan otomatisasi (CI/CD).,Pembelajaran Berbasis Kasus (Case Based Learning/CBL),"Ceramah, Diskusi, Praktikum",Observasi (Praktik/ Tugas),"Kelancaran alur kerja otomatisasi dari repositori hingga lingkungan produksi dan kemampuan menangani kesalahan (error handling) dalam pipeline.
Kemampuan merancang mekanisme redundansi sistem, keberhasilan simulasi failover yang minim downtime, serta ketajaman analisis efisiensi penggunaan sumber daya/energi.","CI/CD
High Availability pada Cloud",,,
,,,"(CPL10)
Memiliki kompetensi untuk menganalisis persoalan kompleks untuk mengidentifikasi solusi bidang informatika/ilmu komputer dengan mempertimbangkan wawasan ilmu multidisiplin",BK09,Security Technology and Implementation,CPMK1003,"Mampu menganalisis permasalahan kompleks pada infrastruktur dan layanan jaringan komputer untuk merancang, mengonfigurasi, dan mengelola solusi jaringan dan layanan on-premise maupun cloud ",Sub-CPMK 100901,"Mampu merancang, mengonfigurasi, dan mengelola solusi jaringan kompleks serta High Availability (HA) pada lingkungan on-premise maupun cloud.",Pembelajaran Berbasis Kasus (Case Based Learning/CBL),"Ceramah, Diskusi, Praktikum",Observasi (Praktik/ Tugas),"Kemampuan merancang arsitektur jaringan virtual yang fungsional, mencakup ketepatan konfigurasi subnet, tabel rute, dan efektivitas aturan firewall dalam mengamankan trafik.
Kemampuan merancang mekanisme redundansi sistem, keberhasilan simulasi failover yang minim downtime, serta ketajaman analisis efisiensi penggunaan sumber daya/energi.","Virtual Cloud Network (VCN)
High Availability pada Cloud",,,
"Ridwan Rismanto, S.ST., M.Kom., Ph.D",MK052,Komputasi Hijau,,BK01,"Social Issues and Professional Practice
",CPMK101,"Mampu menunjukkan profesionalisme melalui penerapan etika profesi TI, keselamatan kerja, kewirausahaan bertanggung jawab, rekayasa perangkat lunak ramah lingkungan, dan disiplin dalam penelitian maupun penerapan aplikasi teknologi",,,,,,,,,,
,,,CPL05,BK27,Virtual Systems and Services,CPMK509,"Mampu merancang dan mengelola layanan komputasi virtual secara efisien dengan mempertimbangkan kebutuhan performa, skalabilitas, dan keberlanjutan energi.",,,,,,,,,,
"Dika Rizky Yunianto, S.Kom, M.Kom
Vivin Ayu Lestari, S.Pd., M.Kom",MK053,Magang,"(CPL01) Menginternalisasi ketakwaan kepada Tuhan Yang Maha Esa, menaati hukum, disiplin, dan menunjukkan profesionalisme melalui etika profesi, pembelajaran sepanjang hayat, serta respons terhadap isu sosial dan teknologi.
",BK30,Pengembangan Diri,CPMK102,"Mampu menginternalisasi nilai ketakwaan kepada Tuhan YME, Pancasila, kewarganegaraan, dan menunjukkan pembelajaran sepanjang hayat melalui disiplin diri, tanggung jawab sosial, dan adaptasi karir profesional",,,,,,,,,,
,,,"(CPL03)
Memiliki kemampuan (pengelolaan) manajerial tim dan kerja sama (team work), manajemen diri, mampu berkomunikasi baik lisan maupun tertulis dengan baik dan mampu melakukan presentasi.",,,CPMK319,"Mahasiswa mampu beradaptasi dan bekerja sama dalam tim kerja profesional di industri, mengelola waktu, tugas, dan tanggung jawab secara mandiri, serta berkomunikasi secara profesional dengan supervisor, rekan kerja, dan stakeholder perusahaan.",,,,,,,,,,
,,,,,,CPMK320,Mahasiswa mampu mempresentasikan hasil kerja dan progress kepada supervisor secara jelas dan terstruktur serta menulis laporan magang yang sistematis dan reflektif mengenai pengalaman kerja.,,,,,,,,,,
,,,"(CPL06)
Mampu merancang, mengimplementasikan,  menguji, melakukan deployment, dan memelihara, serta menjamin mutu perangkat lunak yang menjawab permasalahan dan memenuhi kebutuhan stakeholder
",BK26,Systems Analysis & Design,CPMK607,Mampu menganalisis kebutuhan organisasi untuk merancang serta mengimplementasikan solusi sistem informasi terintegrasi yang kompleks.,,,,,,,,,,
,,,"(CPL08)
Mampu mengelola proyek teknologi informasi secara profesional dengan mengoptimalkan sumber daya yang tersedia


","BK03
BK30","Project Management
Pengembangan Diri",CPMK804,"Mampu mendemonstrasikan pengelolaan proyek secara utuh dalam konteks proyek penelitian mandiri atau lingkungan kerja industri, dengan menerapkan seluruh prinsip manajemen, rekayasa, dan optimalisasi sumber daya.",,,,,,,,,,
,MK054,Skripsi,"(CPL01) Menginternalisasi ketakwaan kepada Tuhan Yang Maha Esa, menaati hukum, disiplin, dan menunjukkan profesionalisme melalui etika profesi, pembelajaran sepanjang hayat, serta respons terhadap isu sosial dan teknologi.
",BK01,"Social Issues and Professional Practice
",CPMK101,"Mampu menunjukkan profesionalisme melalui penerapan etika profesi TI, keselamatan kerja, kewirausahaan bertanggung jawab, rekayasa perangkat lunak ramah lingkungan, dan disiplin dalam penelitian maupun penerapan aplikasi teknologi",,,,,,,,,,
,,,"(CLP02) 
Menguasai konsep teoritis bidang pengetahuan mengenai berbagai prinsip rekayasa sistem/perangkat lunak dalam merancang solusi aplikasi multi-platform yang relevan dengan kebutuhan stakeholder.",,Systems Analysis & Design,CPMK211,"Mampu menerapkan metodologi analisis dan desain sistem secara terstruktur untuk mentransformasi kebutuhan stakeholder menjadi spesifikasi teknis yang komprehensif bagi pengembangan aplikasi multi-platform, dengan menghasilkan artefak desain yang mencakup aspek fungsional, non-fungsional, dan arsitektural yang dapat diimplementasikan",,,,,,,,,,
,,,"(CPL04)
Menyusun deskripsi saintifik hasil kajian implikasi pengembangan atau implementasi ilmu pengetahuan teknologi dalam bentuk skripsi atau laporan tugas akhir atau artikel
ilmiah.
","BK01
BK31","Social Issues and Professional Practice
Metodologi Penelitian",CPMK404,"Mahasiswa mampu melaksanakan penelitian sesuai metode ilmiah dan menyusun deskripsi saintifik hasil penelitian dalam bentuk skripsi, laporan tugas akhir, atau artikel ilmiah yang memenuhi standar akademik.",,,,,,,,,,
,,,"(CPL03)
Memiliki kemampuan (pengelolaan) manajerial tim dan kerja sama (team work), manajemen diri, mampu berkomunikasi baik lisan maupun tertulis dengan baik dan mampu melakukan presentasi.",,,CPMK321,"Mahasiswa mampu mengelola diri secara mandiri dalam merencanakan, melaksanakan, dan menyelesaikan penelitian tugas akhir, berkomunikasi serta berkolaborasi dengan dosen pembimbing dan pihak terkait, serta menulis skripsi dengan struktur yang sistematis, bahasa ilmiah yang baik, dan sesuai kaidah penulisan akademik.",,,,,,,,,,
,,,,,,CPMK322,Mahasiswa mampu mempresentasikan hasil penelitian dalam sidang dengan argumentasi yang kuat dan sistematis serta merespons pertanyaan dan kritik dalam forum ilmiah secara profesional dan argumentatif.,,,,,,,,,,
,,,"(CPL08)
Mampu mengelola proyek teknologi informasi secara profesional dengan mengoptimalkan sumber daya yang tersedia


","BK03
BK30","Project Management
Pengembangan Diri",CPMK804,"Mampu mendemonstrasikan pengelolaan proyek secara utuh dalam konteks proyek penelitian mandiri atau lingkungan kerja industri, dengan menerapkan seluruh prinsip manajemen, rekayasa, dan optimalisasi sumber daya.",,,,,,,,,,
,,,"(CPL10)
Memiliki kompetensi untuk menganalisis persoalan kompleks untuk mengidentifikasi solusi bidang informatika/ilmu komputer dengan mempertimbangkan wawasan ilmu multidisiplin",BK26,Systems Analysis & Design,CPMK1008,Mampu mengintegrasikan dan mengevaluasi hasil analisis dan desain sistem ke dalam pengembangan sistem dengan mempertimbangkan aspek teknis dan organisasi.,,,,,,,,,,
,,,,BK31,Metodologi Penelitian,CPMK1009,Mampu mengkaji persoalan kompleks dan mengidentifikasi tahapan penyelesaian yang tepat berdasarkan kaidah ilmiah untuk menyelesaikan permasalahan pada bidang informatika.,,,,,,,,,,
,,,"(CPL06)
Mampu merancang, mengimplementasikan,  menguji, melakukan deployment, dan memelihara, serta menjamin mutu perangkat lunak yang menjawab permasalahan dan memenuhi kebutuhan stakeholder
",BK26,Systems Analysis & Design,CPMK607,Mampu menganalisis kebutuhan organisasi untuk merancang serta mengimplementasikan solusi sistem informasi terintegrasi yang kompleks.,,,,,,,,,,
"Atiqah Nurul Asri, S.Pd., M.Pd.",MK055,Bahasa Inggris Persiapan Kerja,"(CPL03)
Memiliki kemampuan (pengelolaan) manajerial tim dan kerja sama (team work), manajemen diri, mampu berkomunikasi baik lisan maupun tertulis dengan baik dan mampu melakukan presentasi.",BK 30,Pengembangan Diri,CPMK303,"Mampu mengembangkan diri secara berkelanjutan melalui komunikasi lisan dan tertulis yang efektif dalam konteks akademik dan profesional, presentasi diri dan ide secara percaya diri, serta pengelolaan karir dan kinerja di lingkungan kerja nyata.
",SCPMK-303-05501,"Mahasiswa mampu menyusun rencana pengembangan karir sesuai dengan kebutuhan industri, secara lisan dan tertulis.",Pembelajaran Berbasis Kasus (Case Based Learning/CBL),"Diskusi kelompok, latihan penyusunan dokumen karir",Observasi (Praktik/ Tugas),Ketepatan penyusunan rencana pengembangan karir sesuai kebutuhan industri,"Career development planning, job market preparation dalam konteks industri TI",,,
